country_code,country_name,city,latitude,longitude,nb_users,percent
CD,Congo D.R.C,Kinshasa,-4.3,15.3,22,0.001784411
UG,Uganda,Jinja,0.4244444,33.2041667,1,8.11E-05
SL,Sierra Leone,Kabala,9.5833333,-11.55,1,8.11E-05
ZM,Zambia,Ndola,-12.9666667,28.6333333,4,0.000324438
ZA,South Africa,Johannesburg,-26.205171,28.049815,662,0.053694541
NG,Nigeria,Abuja,9.083,7.533,84,0.006813205
SN,Senegal,Ziguinchor,12.5833333,-16.2719444,4,0.000324438
GH,Ghana,Tamale,9.4,-0.8333333,2,0.000162219
KE,Kenya,Eldoret,0.5166667,35.2833333,20,0.001622192
ZA,South Africa,Soweto,-26.267812,27.858492,4,0.000324438
MZ,Mozambique,Tete,-16.1563889,33.5866667,2,0.000162219
ZA,South Africa,Pietermaritzburg,-29.616785,30.39278,1,8.11E-05
MG,Madagascar,Toamasina,-18.1666667,49.3833333,3,0.000243329
NE,Niger,Niamey,13.6666667,1.7833333,1,8.11E-05
TZ,Tanzania,Salaam,-6.8,39.2833333,120,0.009733149
ZW,Zimbabwe,Gweru,-19.45,29.8166667,2,0.000162219
ET,Ethiopia,Addis Ababa,9.024325,38.749226,88,0.007137643
TG,Togo,Lome,6.1372,1.2125,10,0.000811096
UG,Uganda,Kampala,0.3155556,32.5655556,262,0.02125071
RW,Rwanda,Kigali,-1.9536111,30.0605556,62,0.005028794
NG,Nigeria,Ogbomosho,8.133333,4.266667,1,8.11E-05
ET,Ethiopia,Bahir,11.6,37.383333,2,0.000162219
MG,Madagascar,Antananarivo,-18.9166667,47.5166667,42,0.003406602
MW,Malawi,Lilongwe,-13.9833333,33.7833333,16,0.001297753
CD,Congo D.R.C,Lubumbashi,-11.666667,27.466667,2,0.000162219
GH,Ghana,Accra,5.55,-0.2166667,260,0.021088491
MG,Madagascar,Fianarantsoa,-21.4333333,47.0833333,1,8.11E-05
ML,Mali,Bamako,12.65,-8,14,0.001135534
SO,Somalia,Mogadishu,2.0666667,45.3666667,8,0.000648877
CM,Cameroon,Yaound̩,3.8666667,11.5166667,16,0.001297753
EG,Egypt,Alexandria,31.1980556,29.9191667,292,0.023683997
MA,Morocco,Casablanca,33.592779,-7.619157,150,0.012166437
ML,Mali,Sikasso,11.3166667,-5.6666667,1,8.11E-05
EG,Egypt,Cairo,30.05,31.25,649,0.052640117
LR,Liberia,Buchanan,5.8808333,-10.0466667,3,0.000243329
BF,Burkina Faso,Bobo Dioulasso,11.2,-4.3,2,0.000162219
CI,C̫te d'Ivoire,Abidjan,5.309657,-4.012656,70,0.005677671
ZA,South Africa,Benoni,-26.190851,28.311338,4,0.000324438
GN,Guinea,Conakry,9.5091667,-13.7122222,5,0.000405548
NA,Namibia,Windhoek,-22.57,17.0836111,25,0.002027739
CI,C̫te d'Ivoire,Korhogo,9.458031,-5.629608,1,8.11E-05
KM,Comoros,Moroni,-11.7041667,43.2402778,1,8.11E-05
CM,Cameroon,Douala,4.0502778,9.7,27,0.002189959
TN,Tunisia,Susah,35.825388,10.636991,1,8.11E-05
BF,Burkina Faso,Ouagadougou,12.3702778,-1.5247222,3,0.000243329
LY,Lybia,Tripoli,32.8925,13.18,22,0.001784411
KE,Kenya,Thika,-1.05,37.0833333,2,0.000162219
GH,Ghana,Takoradi,4.8833333,-1.75,1,8.11E-05
MA,Morocco,Nador,35.174041,-2.92866,2,0.000162219
SN,Senegal,Dakar,14.6708333,-17.4380556,94,0.0076243
GW,Guinea-Bissau,Bissau,11.85,-15.5833333,2,0.000162219
MA,Morocco,Marrakesh,31.631485,-8.008281,7,0.000567767
ZA,South Africa,Elizabeth,-33.917988,25.570066,36,0.002919945
KE,Kenya,Kitale,1.0166667,35,1,8.11E-05
NE,Niger,Tahoua,14.8902778,5.2677778,1,8.11E-05
CV,Cape Verde,Praia,14.920833,-23.508333,9,0.000729986
CM,Cameroon,Bafoussam,5.4666667,10.4166667,1,8.11E-05
MZ,Mozambique,Quelimane,-17.8786111,36.8883333,1,8.11E-05
SL,Sierra Leone,Freetown,8.49,-13.2341667,5,0.000405548
LR,Liberia,Yekepa,7.5794444,-8.5377778,1,8.11E-05
NG,Nigeria,Ibadan,7.387778,3.896389,14,0.001135534
