country_code,country_name,city,latitude,longitude,nb_users,percent
BF,Burkina Faso,,12.3702778,-1.5247222,19,0.0015410820017844108
DJ,Djibouti,,11.595,43.1480556,5,0.0004055478952064239
BI,Burundi,,-3.3761111,29.36,11,0.0008922053694541325
BJ,Benin,,6.35,2.4333333,51,0.004136588531105523
BW,Botswana,,-24.6463889,25.9119444,49,0.003974369373022954
DZ,Algeria,,36.7630556,3.0505556,388,0.03147051666801849
GN,Guinea,,9.5091667,-13.7122222,13,0.001054424527536702
RW,Rwanda,,-1.9536111,30.0605556,89,0.007218752534674345
TZ,Tanzania,,-6.8,39.2833333,244,0.019790737286073484
CM,Cameroon,,4.0502778,9.7,122,0.009895368643036742
NA,Namibia,,-22.57,17.0836111,45,0.003649931056857815
NE,Niger,,13.6666667,1.7833333,4,0.0003244383161651391
NG,Nigeria,,6.453056,3.395833,1109,0.08995052315678481
TN,Tunisia,,36.806112,10.171078,858,0.06959201881742234
LR,Liberia,,6.3105556,-10.8047222,20,0.0016221915808256955
LS,Lesotho,,-29.3166667,27.4833333,17,0.0013788628437018413
CF,Central African Republic,,4.3666667,18.5833333,1,8.110957904128478e-05
TG,Togo,,6.1372,1.2125,28,0.0022710682131559736
TD,Chad,,12.116667,15.05,8,0.0006488766323302783
ER,Eritrea,,15.333333,38.933333,1,8.110957904128478e-05
LY,Lybia,,32.902222,13.185833,23,0.0018655203179495498
GW,Guinea-Bissau,,11.85,-15.5833333,2,0.00016221915808256956
ZM,Zambia,,-15.4166667,28.2833333,67,0.00543434179576608
CI,Côte d'Ivoire,,5.309657,-4.012656,71,0.005758780111931219
EH,Western Sahara,,27.153611,13.203333,4,0.0003244383161651391
GQ,Equatorial Guinea,,3.75,8.7833333,1,8.110957904128478e-05
EG,Egypt,,30.05,31.25,2135,0.173168951253143
SL,Sierra Leone,,8.49,-13.2341667,9,0.000729986211371563
CG,Congo,,-4.2591667,15.2847222,24,0.0019466298969908345
ZA,South Africa,,-33.925839,18.423218,2697,0.21875253467434505
AO,Angola,,-8.836804,13.233174,75,0.006083218428096358
CD,Congo D.R.C,,-4.3,15.3,36,0.002919944845486252
GA,Gabon,,0.3833333,9.45,10,0.0008110957904128478
ET,Ethiopia,,9.024325,38.749226,175,0.014194176332224836
GM,Gambia,,13.4530556,-16.5775,11,0.0008922053694541325
ZW,Zimbabwe,,-17.8177778,31.0447222,118,0.009570930326871603
CV,Cape Verde,,14.920833,-23.508333,22,0.001784410738908265
GH,Ghana,,5.5,-0.2166667,474,0.038445940465568984
SZ,Swaziland,,-26.4666667,31.2,7,0.0005677670532889934
MG,Madagascar,,-18.9166667,47.5166667,109,0.00884094411550004
MA,Morocco,,33.592779,-7.619157,851,0.06902425176413335
KE,Kenya,,-1.2833333,36.8166667,1397,0.11331008192067483
SS,South Sudan,,4.85,31.6,5,0.0004055478952064239
ML,Mali,,12.65,-8,20,0.0016221915808256955
KM,Comoros,,-11.7041667,43.2402778,2,0.00016221915808256956
MU,Mauritius,,-20.1619444,57.4988889,140,0.011355341065779869
MW,Malawi,,-13.9833333,33.7833333,52,0.004217698110146808
SO,Somalia,,2.0666667,45.3666667,15,0.0012166436856192715
SN,Senegal,,14.6708333,-17.4380556,133,0.010787574012490876
MR,Mauritania,,18.0863889,-15.9752778,9,0.000729986211371563
SC,Seychelles,,-4.6167,55.45,6,0.00048665747424770864
UG,Uganda,,0.3155556,32.5655556,399,0.032362722037472626
MZ,Mozambique,,-25.9652778,32.5891667,81,0.006569875902344067
SD,Sudan,,15.5880556,32.5341667,67,0.00543434179576608
CD,Congo D.R.C,Kinshasa,-4.3,15.3,22,0.001784410738908265
UG,Uganda,Jinja,0.4244444,33.2041667,1,8.110957904128478e-05
SL,Sierra Leone,Kabala,9.5833333,-11.55,1,8.110957904128478e-05
ZM,Zambia,Ndola,-12.9666667,28.6333333,4,0.0003244383161651391
ZA,South Africa,Johannesburg,-26.205171,28.049815,662,0.053694541325330525
NG,Nigeria,Abuja,9.083,7.533,84,0.006813204639467921
SN,Senegal,Ziguinchor,12.5833333,-16.2719444,4,0.0003244383161651391
GH,Ghana,Tamale,9.4,-0.8333333,2,0.00016221915808256956
KE,Kenya,Eldoret,0.5166667,35.2833333,20,0.0016221915808256955
ZA,South Africa,Soweto,-26.267812,27.858492,4,0.0003244383161651391
MZ,Mozambique,Tete,-16.1563889,33.5866667,2,0.00016221915808256956
ZA,South Africa,Pietermaritzburg,-29.616785,30.39278,1,8.110957904128478e-05
MG,Madagascar,Toamasina,-18.1666667,49.3833333,3,0.00024332873712385432
NE,Niger,Niamey,13.6666667,1.7833333,1,8.110957904128478e-05
TZ,Tanzania,Salaam,-6.8,39.2833333,120,0.009733149484954172
ZW,Zimbabwe,Gweru,-19.45,29.8166667,2,0.00016221915808256956
ET,Ethiopia,Addis Ababa,9.024325,38.749226,88,0.00713764295563306
TG,Togo,Lome,6.1372,1.2125,10,0.0008110957904128478
UG,Uganda,Kampala,0.3155556,32.5655556,262,0.021250709708816613
RW,Rwanda,Kigali,-1.9536111,30.0605556,62,0.0050287939005596565
NG,Nigeria,Ogbomosho,8.133333,4.266667,1,8.110957904128478e-05
ET,Ethiopia,Bahir,11.6,37.383333,2,0.00016221915808256956
MG,Madagascar,Antananarivo,-18.9166667,47.5166667,42,0.0034066023197339606
MW,Malawi,Lilongwe,-13.9833333,33.7833333,16,0.0012977532646605565
CD,Congo D.R.C,Lubumbashi,-11.666667,27.466667,2,0.00016221915808256956
GH,Ghana,Accra,5.55,-0.2166667,260,0.021088490550734043
MG,Madagascar,Fianarantsoa,-21.4333333,47.0833333,1,8.110957904128478e-05
ML,Mali,Bamako,12.65,-8,14,0.0011355341065779868
SO,Somalia,Mogadishu,2.0666667,45.3666667,8,0.0006488766323302783
CM,Cameroon,Yaoundé,3.8666667,11.5166667,16,0.0012977532646605565
EG,Egypt,Alexandria,31.1980556,29.9191667,292,0.023683997080055155
MA,Morocco,Casablanca,33.592779,-7.619157,150,0.012166436856192717
ML,Mali,Sikasso,11.3166667,-5.6666667,1,8.110957904128478e-05
EG,Egypt,Cairo,30.05,31.25,649,0.05264011679779382
LR,Liberia,Buchanan,5.8808333,-10.0466667,3,0.00024332873712385432
BF,Burkina Faso,Bobo Dioulasso,11.2,-4.3,2,0.00016221915808256956
CI,Côte d'Ivoire,Abidjan,5.309657,-4.012656,70,0.0056776705328899345
ZA,South Africa,Benoni,-26.190851,28.311338,4,0.0003244383161651391
GN,Guinea,Conakry,9.5091667,-13.7122222,5,0.0004055478952064239
NA,Namibia,Windhoek,-22.57,17.0836111,25,0.0020277394760321193
CI,Côte d'Ivoire,Korhogo,9.458031,-5.629608,1,8.110957904128478e-05
KM,Comoros,Moroni,-11.7041667,43.2402778,1,8.110957904128478e-05
CM,Cameroon,Douala,4.0502778,9.7,27,0.002189958634114689
TN,Tunisia,Susah,35.825388,10.636991,1,8.110957904128478e-05
BF,Burkina Faso,Ouagadougou,12.3702778,-1.5247222,3,0.00024332873712385432
LY,Lybia,Tripoli,32.8925,13.18,22,0.001784410738908265
KE,Kenya,Thika,-1.05,37.0833333,2,0.00016221915808256956
GH,Ghana,Takoradi,4.8833333,-1.75,1,8.110957904128478e-05
MA,Morocco,Nador,35.174041,-2.92866,2,0.00016221915808256956
SN,Senegal,Dakar,14.6708333,-17.4380556,94,0.007624300429880769
GW,Guinea-Bissau,Bissau,11.85,-15.5833333,2,0.00016221915808256956
MA,Morocco,Marrakesh,31.631485,-8.008281,7,0.0005677670532889934
ZA,South Africa,Elizabeth,-33.917988,25.570066,36,0.002919944845486252
KE,Kenya,Kitale,1.0166667,35,1,8.110957904128478e-05
NE,Niger,Tahoua,14.8902778,5.2677778,1,8.110957904128478e-05
CV,Cape Verde,Praia,14.920833,-23.508333,9,0.000729986211371563
CM,Cameroon,Bafoussam,5.4666667,10.4166667,1,8.110957904128478e-05
MZ,Mozambique,Quelimane,-17.8786111,36.8883333,1,8.110957904128478e-05
SL,Sierra Leone,Freetown,8.49,-13.2341667,5,0.0004055478952064239
LR,Liberia,Yekepa,7.5794444,-8.5377778,1,8.110957904128478e-05
NG,Nigeria,Ibadan,7.387778,3.896389,14,0.0011355341065779868
TG,Togo,Lomé,6.1372,1.2125,10,0.0008110957904128478
CD,Congo D.R.C,Bukavu,-2.508333,28.860833,1,8.110957904128478e-05
BW,Botswana,Francistown,-21.1666667,27.5166667,1,8.110957904128478e-05
MA,Morocco,Rabat,34.013784,-6.844268,108,0.008759834536458755
ZA,South Africa,Cape Town,-33.925839,18.423218,437,0.03544488604104145
MA,Morocco,Kenitra,34.261008,-6.580203,6,0.00048665747424770864
LR,Liberia,Monrovia,6.3105556,-10.8047222,7,0.0005677670532889934
CM,Cameroon,Yaounde,3.8666667,11.5166667,10,0.0008110957904128478
ET,Ethiopia,Gondar,12.6,37.466667,1,8.110957904128478e-05
GA,Gabon,Libreville,0.3833333,9.45,6,0.00048665747424770864
AO,Angola,Lobito,-12.319722,13.599722,1,8.110957904128478e-05
ZA,South Africa,Pretoria,-25.706944,28.229444,307,0.024900640765674425
BJ,Benin,Cotonou,6.35,2.4333333,29,0.0023521777921972583
BW,Botswana,Maun,-19.9833333,23.4166667,1,8.110957904128478e-05
NG,Nigeria,Kano,11.994354,8.513807,17,0.0013788628437018413
MZ,Mozambique,Maputo,-25.9652778,32.5891667,47,0.0038121502149403843
DZ,Algeria,Médéa,36.2675,2.75,1,8.110957904128478e-05
BI,Burundi,Bujumbura,-3.3761111,29.36,5,0.0004055478952064239
TZ,Tanzania,Mbeya,-8.9,33.45,2,0.00016221915808256956
TD,Chad,Pala,9.35,14.9666667,3,0.00024332873712385432
LR,Liberia,Zwedru,6.0666667,-8.1280556,1,8.110957904128478e-05
CF,Central African Republic,Bangui,4.3666667,18.5833333,1,8.110957904128478e-05
ZM,Zambia,Lusaka,-15.4166667,28.2833333,43,0.0034877118987752453
EG,Egypt,Said,31.2666667,32.3,5,0.0004055478952064239
NG,Nigeria,Kaduna,10.522239,7.43828,7,0.0005677670532889934
GH,Ghana,Tema,5.6166667,-0.0166667,12,0.0009733149484954173
CG,Congo,Brazzaville,-4.2591667,15.2847222,7,0.0005677670532889934
LS,Lesotho,Maseru,-29.3166667,27.4833333,10,0.0008110957904128478
NA,Namibia,Walvis,-22.9575,14.5052778,1,8.110957904128478e-05
NG,Nigeria,Zaria,11.113236,7.725176,1,8.110957904128478e-05
EG,Egypt,Asyut,27.1827778,31.1827778,1,8.110957904128478e-05
MA,Morocco,Fez,34.037151,-4.999797,4,0.0003244383161651391
AO,Angola,Luanda,-8.836804,13.233174,51,0.004136588531105523
ZA,South Africa,Durban,-29.857896,31.029198,141,0.011436450644821154
ZW,Zimbabwe,Harare,-17.8177778,31.0447222,56,0.004542136426311947
SD,Sudan,Khartoum,15.5880556,32.5341667,28,0.0022710682131559736
CM,Cameroon,Maroua,10.5955556,14.3247222,1,8.110957904128478e-05
ET,Ethiopia,Abeba,9.024325,38.749226,1,8.110957904128478e-05
KE,Kenya,Mombasa,-4.05,39.6666667,26,0.002108849055073404
ZW,Zimbabwe,Mutare,-18.9666667,32.6666667,1,8.110957904128478e-05
EG,Egypt,Tanta,30.7911111,30.9980556,20,0.0016221915808256955
DZ,Algeria,Algiers,36.7630556,3.0505556,377,0.03057831129856436
SD,Sudan,Sinnar,13.55,33.6333333,1,8.110957904128478e-05
NA,Namibia,Swakopmund,-22.6833333,14.5333333,1,8.110957904128478e-05
TD,Chad,Djamena,12.116667,15.05,1,8.110957904128478e-05
SZ,Swaziland,Mbabane,-26.3166667,31.1333333,3,0.00024332873712385432
TN,Tunisia,Tunis,36.806112,10.171078,857,0.06951090923838105
UG,Uganda,Entebbe,0.0644444,32.4469444,6,0.00048665747424770864
CM,Cameroon,Bertoua,4.5833333,13.6833333,1,8.110957904128478e-05
NG,Nigeria,Maiduguri,11.846441,13.160274,1,8.110957904128478e-05
NG,Nigeria,Harcourt,4.777423,7.013404,18,0.001459972422743126
KE,Kenya,Nairobi,-1.2833333,36.8166667,995,0.08070403114607835
TZ,Tanzania,Mwanza,-2.5166667,32.9,4,0.0003244383161651391
GM,Gambia,Banjul,13.4530556,-16.5775,2,0.00016221915808256956
GQ,Equatorial Guinea,Bata,1.85,9.75,1,8.110957904128478e-05
KE,Kenya,Nakuru,-0.2833333,36.0666667,12,0.0009733149484954173
EG,Egypt,Mahalla,30.9761111,31.1669444,3,0.00024332873712385432
MZ,Mozambique,Nacala,-14.5427778,40.6727778,1,8.110957904128478e-05
ER,Eritrea,Asmara,15.3333333,38.9333333,1,8.110957904128478e-05
SN,Senegal,Thies,14.8,-16.9333333,2,0.00016221915808256956
ET,Ethiopia,Jimma,7.666667,36.833333,4,0.0003244383161651391
UG,Uganda,Gulu,2.7666667,32.3055556,1,8.110957904128478e-05
NG,Nigeria,Aba,5.106576,7.366667,6,0.00048665747424770864
ZA,South Africa,Vereeniging,-26.673133,27.926147,1,8.110957904128478e-05
MZ,Mozambique,Chimoio,-19.1163889,33.4833333,1,8.110957904128478e-05
ZA,South Africa,Tembisa,-25.996363,28.226802,1,8.110957904128478e-05
UG,Uganda,Lira,2.235,32.9097222,4,0.0003244383161651391
UG,Uganda,Mbarara,-0.6583333,30.6758333,11,0.0008922053694541325
NG,Nigeria,Benin City,6.335045,5.627492,7,0.0005677670532889934
LY,Lybia,Benghazi,32.1166667,20.0666667,1,8.110957904128478e-05
SO,Somalia,Bosaso,11.2847222,49.1825,1,8.110957904128478e-05
GA,Gabon,Gentil,-0.7166667,8.7833333,3,0.00024332873712385432
ZW,Zimbabwe,Bulawayo,-20.15,28.5833333,9,0.000729986211371563
MA,Morocco,Tangier,35.780576,-5.813646,19,0.0015410820017844108
TZ,Tanzania,Kigoma,-4.8769444,29.6266667,2,0.00016221915808256956
TZ,Tanzania,Dodoma,-6.1833333,35.75,4,0.0003244383161651391
MW,Malawi,Kasungu,-13.0333333,33.4833333,1,8.110957904128478e-05
MW,Malawi,Zomba,-15.3833333,35.3333333,2,0.00016221915808256956
EG,Egypt,Suez,29.9666667,32.55,1,8.110957904128478e-05
GM,Gambia,Bakau,13.4780556,-16.6819444,1,8.110957904128478e-05
TZ,Tanzania,Morogoro,-6.8166667,37.6666667,1,8.110957904128478e-05
SS,South Sudan,Juba,4.85,31.6,5,0.0004055478952064239
BI,Burundi,Ngozi,-2.9083333,29.8277778,1,8.110957904128478e-05
BW,Botswana,Gaborone,-24.6463889,25.9119444,30,0.002433287371238543
DZ,Algeria,Constantine,36.365,6.6147222,10,0.0008110957904128478
TZ,Tanzania,Moshi,-3.35,37.3333333,5,0.0004055478952064239
EG,Egypt,Luxor,25.6833333,32.65,1,8.110957904128478e-05
KE,Kenya,Kisumu,-0.1,34.75,10,0.0008110957904128478
GH,Ghana,Kumasi,6.6833333,-1.6166667,15,0.0012166436856192715
CM,Cameroon,Bamenda,5.9333333,10.1666667,1,8.110957904128478e-05
TD,Chad,Moundou,8.5666667,16.0833333,1,8.110957904128478e-05
TZ,Tanzania,Arusha,-3.3666667,36.6833333,21,0.0017033011598669803
MZ,Mozambique,Beira,-19.8436111,34.8388889,1,8.110957904128478e-05
NG,Nigeria,Lagos,6.453056,3.395833,408,0.03309270824884419
MR,Mauritania,Nouakchott,18.0863889,-15.9752778,2,0.00016221915808256956
MW,Malawi,Blantyre,-15.7833333,35,14,0.0011355341065779868
MA,Morocco,Agadir,30.420664,-9.593161,48,0.003893259793981669
TZ,Tanzania,Zanzibar,-6.1666667,39.1833333,10,0.0008110957904128478
